Location,Country,DZ,Latitude,Longitude,Elevation (m)
Rochelle,United States,Chicagoland Skydiving Center,41.8926,-89.0796,238
DeLand,United States,Skydive Deland,29.067,-81.2837,24
Elsinore,United States,Skydive Elsinore,33.63,-117.3017,382
Eloy,United States,Skydive Arizona,32.8067,-111.5866,461
Overton,United States,Skydive Fyrosity,36.5681,-114.4433,416
Shelton,United States,Skydive Kapowsin,47.2335,-123.1475,83
Marl,Germany,Fallschirmsport Marl e.V.,51.6472,7.1633,72
Netheravon,UK,Skydive Netheravon,51.2472,-1.7542,135
Oceanside,United States,GoJump Oceanside,33.218,-117.3515,8
Perris,United States,Skydive Perris,33.7646,-117.219,431
Ravenna,Italy,Skydive Pull Out Ravenna,44.3643,12.2249,0
Lompoc,United States,Skydive Santa Barbara,34.6656,-120.4675,27
Sebastian,United States,Skydive Sebastian,27.8132,-80.4955,7
Ottawa,United States,Skydive Chicago,41.3997,-88.7939,188
Sturtevant,United States,Skydive Midwest,42.7032,-87.9589,240
Rosharon,United States,Skydive Spaceland Houston,29.3569,-95.4594,15
Zephyrhills,United States,Skydive City,28.228,-82.156,27
Bailieston,Australia,Skydive Nagambie,-36.735542,145.126947,137
Lodi,United States,Skydive Lodi Parachute Center,38.2024417,-121.2691417,18
Siracusa,Italy,SkydiveSicilia Siracusa,37.02865,15.243458,13
Borki,Russia,DZ Borki,56.798392,37.3312258,127
Pushchino,Russia,DZ Pushchino,54.789712,37.642467,238
Kaposvar,Russia,Kapos DropZone,46.389969,17.731702,156
Enem,Russia,DZ Enem,44.93794,38.928427,26
Molinella,Italy,Moli D Zone,44.597435,11.653231,7
Siofok,Hungary,Skydive Balaton,46.86286498,18.08786809,127
Pociunai,Lithuania,Kaunas Skydiving Club,54.6494302,24.06236627,50
Pretoria,South Africa,Skydive Pretoria,-25.663383,28.220384,1248
Kolomna,Russia,Aerograd Kolomna,55.091244,38.918871,144
Empuriabrava,Spain,Skydive Empuriabrava,42.25945116,3.10997844,2
Samara,Russia,Sky Roads Samara,53.24922509,50.04617929,40
Kuusiku,Estonia,Skydive Estonia,58.98742257,24.72462416,60
York,Australia,Skydive York,-31.82505824,116.7982829,170
Most,Czech Republic,,50.52436163,13.68278503,331
Pribram,Czech Republic,,49.719174,14.097512,466
Prostejov,Czech Republic,JUMP-TANDEM s.r.o.,49.4478303,17.13403702,214
Jihlava,Czech Republic,,49.42058439,15.63575506,555
Taylorville,United States,Mid-America Sport Parachute,39.5325855,-89.3307069,190
Aarhus,Denmark,,56.31325799,10.6151104,20
Raeford,United States,Skydive Paraclete XP,35.02100849,-79.18919563,93
Texel,Netherlands,Paracentrum Texel,53.11766712,4.82857704,1
Teuge,Netherlands,National Paracentrum Teuge,52.24088496,6.04436338,5
Kolin,Czech Republic,,50.00604103,15.17419517,267
Azov,Russia,,47.08796908,39.41306591,40
Vaduleni,Moldova,,47.06611354,29.09283757,160
San Diego,United States,Skydive San Diego,32.63484506,-116.8917874,149
